time,H986,H1222,H1827,H3434
260350201.0000,31.27201999,31.65081640,31.97173318,32.17006813
261665101.0000,31.27201970,31.65081608,31.97173285,32.17006780
262980001.0000,31.27201946,31.65081583,31.97173260,32.17006755
264294901.0000,31.27201917,31.65081552,31.97173227,32.17006723
265609801.0000,31.27201894,31.65081527,31.97173203,32.17006699
266924701.0000,31.27201865,31.65081496,31.97173170,32.17006666
268239601.0000,31.27201842,31.65081472,31.97173145,32.17006642
269554501.0000,31.27201813,31.65081441,31.97173113,32.17006610
270869401.0000,31.27201790,31.65081416,31.97173089,32.17006586
272184301.0000,31.27201762,31.65081386,31.97173057,32.17006555
273499201.0000,31.27201739,31.65081361,31.97173032,32.17006531
274814101.0000,31.27201711,31.65081331,31.97173001,32.17006499
276129001.0000,31.27201688,31.65081307,31.97172977,32.17006476
277443901.0000,31.27201660,31.65081277,31.97172945,32.17006444
278758801.0000,31.27201637,31.65081253,31.97172921,32.17006421
280073701.0000,31.27201609,31.65081223,31.97172890,32.17006390
281388601.0000,31.27201587,31.65081199,31.97172866,32.17006367
282703501.0000,31.27201559,31.65081169,31.97172835,32.17006336
284018401.0000,31.27201536,31.65081146,31.97172811,32.17006313
285333301.0000,31.27201509,31.65081116,31.97172780,32.17006282
286648201.0000,31.27201487,31.65081093,31.97172757,32.17006259
287963101.0000,31.27201459,31.65081063,31.97172726,32.17006229
289278001.0000,31.27201437,31.65081040,31.97172703,32.17006206
290592901.0000,31.27201410,31.65081011,31.97172673,32.17006176
291907801.0000,31.27201388,31.65080988,31.97172650,32.17006153
293222701.0000,31.27201361,31.65080959,31.97172619,32.17006123
294537601.0000,31.27201339,31.65080936,31.97172596,32.17006101
295852501.0000,31.27201312,31.65080907,31.97172566,32.17006071
297167401.0000,31.27201290,31.65080884,31.97172544,32.17006049
298482301.0000,31.27201263,31.65080855,31.97172514,32.17006020
299797201.0000,31.27201242,31.65080833,31.97172491,32.17005997
301112101.0000,31.27201215,31.65080804,31.97172462,32.17005968
302427001.0000,31.27201194,31.65080782,31.97172439,32.17005946
303741901.0000,31.27201167,31.65080754,31.97172410,32.17005917
305056801.0000,31.27201146,31.65080731,31.97172387,32.17005895
306371701.0000,31.27201120,31.65080703,31.97172358,32.17005866
307686601.0000,31.27201099,31.65080681,31.97172336,32.17005844
309001501.0000,31.27201073,31.65080653,31.97172307,32.17005816
310316401.0000,31.27201052,31.65080631,31.97172285,32.17005794
311631301.0000,31.27201026,31.65080603,31.97172256,32.17005766
312946201.0000,31.27201005,31.65080581,31.97172235,32.17005744
314261101.0000,31.27200979,31.65080554,31.97172206,32.17005716
315576001.0000,31.27200958,31.65080532,31.97172184,32.17005695
316890901.0000,31.27200932,31.65080505,31.97172156,32.17005667
318205801.0000,31.27200912,31.65080483,31.97172134,32.17005645
319520701.0000,31.27200886,31.65080456,31.97172106,32.17005618
320835601.0000,31.27200866,31.65080434,31.97172085,32.17005597
322150501.0000,31.27200841,31.65080408,31.97172057,32.17005569
323465401.0000,31.27200820,31.65080386,31.97172035,32.17005548
324780301.0000,31.27200795,31.65080359,31.97172007,32.17005521
326095201.0000,31.27200775,31.65080338,31.97171986,32.17005500
327410101.0000,31.27200750,31.65080311,31.97171959,32.17005473
328725001.0000,31.27200730,31.65080290,31.97171938,32.17005452
330039901.0000,31.27200705,31.65080264,31.97171910,32.17005425
331354801.0000,31.27200685,31.65080243,31.97171889,32.17005404
332669701.0000,31.27200660,31.65080217,31.97171862,32.17005377
333984601.0000,31.27200640,31.65080196,31.97171841,32.17005357
335299501.0000,31.27200616,31.65080170,31.97171814,32.17005330
336614401.0000,31.27200596,31.65080149,31.97171794,32.17005310
337929301.0000,31.27200571,31.65080123,31.97171767,32.17005283
339244201.0000,31.27200552,31.65080102,31.97171746,32.17005263
340559101.0000,31.27200527,31.65080077,31.97171720,32.17005237
341874001.0000,31.27200508,31.65080056,31.97171699,32.17005217
343188901.0000,31.27200484,31.65080031,31.97171673,32.17005191
344503801.0000,31.27200465,31.65080010,31.97171652,32.17005171
345818701.0000,31.27200440,31.65079985,31.97171626,32.17005145
347133601.0000,31.27200421,31.65079965,31.97171606,32.17005125
348448501.0000,31.27200397,31.65079939,31.97171580,32.17005099
349763401.0000,31.27200378,31.65079919,31.97171560,32.17005079
351078301.0000,31.27200355,31.65079894,31.97171534,32.17005054
352393201.0000,31.27200336,31.65079874,31.97171514,32.17005034
353708101.0000,31.27200312,31.65079849,31.97171488,32.17005008
355023001.0000,31.27200293,31.65079829,31.97171468,32.17004989
356337901.0000,31.27200270,31.65079805,31.97171442,32.17004964
357652801.0000,31.27200251,31.65079785,31.97171423,32.17004944
358967701.0000,31.27200228,31.65079760,31.97171397,32.17004919
360282601.0000,31.27200209,31.65079741,31.97171378,32.17004900
