time,T1038,T2571,T4587,T6376,T7640,T9105,T9625,T9989,T10169
207754201.0000,20.99988817,20.99945848,20.77352459,14.82559214,16.72328215,16.68005232,15.99999792,15.99999983,15.99999947
209069101.0000,13.40191522,19.22544531,20.83258281,15.28678344,16.71750500,16.68955830,15.99999791,15.99999983,15.99999946
210384001.0000,11.38798349,16.35093165,20.74775301,15.86895027,16.71997561,16.69868161,15.99999791,15.99999982,15.99999944
211698901.0000,11.05487598,13.86199894,20.35817027,16.50557168,16.72486714,16.70742771,15.99999791,15.99999982,15.99999943
213013801.0000,11.00768505,12.31939076,19.58341687,17.14635059,16.73384904,16.71580255,15.99999791,15.99999982,15.99999941
214328701.0000,11.00113351,11.54566512,18.44703800,17.75319475,16.74825902,16.72381224,15.99999793,15.99999982,15.99999940
215643601.0000,11.00018132,11.20903232,17.08624229,18.29270976,16.76847292,16.73146339,15.99999794,15.99999981,15.99999938
216958501.0000,11.00003156,11.07609693,15.68861503,18.73252448,16.79559326,16.73876294,15.99999797,15.99999981,15.99999937
218273401.0000,11.00000598,11.02689559,14.41765327,19.03681400,16.82888229,16.74571852,15.99999800,15.99999981,15.99999936
219588301.0000,11.00000106,11.00941828,13.37038064,19.19434989,16.86594342,16.75233893,15.99999804,15.99999981,15.99999934
220903201.0000,11.00000035,11.00334861,12.57429819,19.18328627,16.89832850,16.75863285,15.99999809,15.99999980,15.99999933
222218101.0000,18.59797292,12.77515763,12.03721008,19.10135521,16.92313815,16.76460891,15.99999815,15.99999980,15.99999932
223533001.0000,20.61190643,15.64900697,11.82816568,18.89897458,16.93901114,16.77027581,15.99999822,15.99999980,15.99999930
224847901.0000,20.94501492,18.13773931,11.98283363,18.50386541,16.94471895,16.77563752,15.99999830,15.99999979,15.99999929
226162801.0000,20.99220757,19.68028454,12.60380770,17.94329875,16.94220358,16.78069584,15.99999839,15.99999979,15.99999927
227477701.0000,20.99875983,20.45399345,13.65546235,17.27904393,16.93727708,16.78546251,15.99999851,15.99999979,15.99999926
228792601.0000,20.99971301,20.79062042,14.96952780,16.57223398,16.92827479,16.78994931,15.99999863,15.99999979,15.99999925
