time,H1038,H2571,H4587,H6376,H7640,H9105,H9625,H9989,H10169
282703501.0000,30.50610787,30.18366757,29.90843790,29.66725760,29.35649264,29.03446589,28.73981985,28.45469178,28.18733487
284018401.0000,30.50610736,30.18366708,29.90843744,29.66725717,29.35649228,29.03446561,28.73981966,28.45469167,28.18733484
285333301.0000,30.50610653,30.18366628,29.90843669,29.66725649,29.35649170,29.03446517,28.73981936,28.45469150,28.18733479
286648201.0000,30.50610603,30.18366579,29.90843623,29.66725607,29.35649135,29.03446489,28.73981917,28.45469140,28.18733476
287963101.0000,30.50610521,30.18366500,29.90843549,29.66725539,29.35649077,29.03446445,28.73981887,28.45469123,28.18733471
289278001.0000,30.50610470,30.18366451,29.90843503,29.66725497,29.35649042,29.03446418,28.73981868,28.45469113,28.18733468
290592901.0000,30.50610388,30.18366372,29.90843429,29.66725429,29.35648985,29.03446374,28.73981838,28.45469096,28.18733463
291907801.0000,30.50610338,30.18366324,29.90843384,29.66725388,29.35648949,29.03446347,28.73981819,28.45469086,28.18733460
293222701.0000,30.50610257,30.18366245,29.90843310,29.66725320,29.35648892,29.03446303,28.73981789,28.45469069,28.18733455
294537601.0000,30.50610207,30.18366197,29.90843265,29.66725279,29.35648857,29.03446277,28.73981770,28.45469059,28.18733452
295852501.0000,30.50610126,30.18366119,29.90843191,29.66725212,29.35648801,29.03446233,28.73981740,28.45469042,28.18733447
297167401.0000,30.50610076,30.18366071,29.90843146,29.66725170,29.35648766,29.03446206,28.73981722,28.45469032,28.18733444
