time,RIVERLOSS
341874001.0000,.3000000000000000E+31
343188901.0000,.3000000000000000E+31
344503801.0000,.3000000000000000E+31
345818701.0000,.3000000000000000E+31
347133601.0000,.3000000000000000E+31
348448501.0000,.3000000000000000E+31
349763401.0000,.3000000000000000E+31
351078301.0000,.3000000000000000E+31
352393201.0000,.3000000000000000E+31
353708101.0000,.3000000000000000E+31
355023001.0000,.3000000000000000E+31
356337901.0000,.3000000000000000E+31
357652801.0000,.3000000000000000E+31
358967701.0000,.3000000000000000E+31
360282601.0000,.3000000000000000E+31
361597501.0000,.3000000000000000E+31
362912401.0000,.3000000000000000E+31
364227301.0000,.3000000000000000E+31
365542201.0000,.3000000000000000E+31
366857101.0000,.3000000000000000E+31
368172001.0000,.3000000000000000E+31
369486901.0000,.3000000000000000E+31
370801801.0000,.3000000000000000E+31
372116701.0000,.3000000000000000E+31
373431601.0000,.3000000000000000E+31
374746501.0000,.3000000000000000E+31
376061401.0000,.3000000000000000E+31
377376301.0000,.3000000000000000E+31
378691201.0000,.3000000000000000E+31
380006101.0000,.3000000000000000E+31
381321001.0000,.3000000000000000E+31
382635901.0000,.3000000000000000E+31
383950801.0000,.3000000000000000E+31
385265701.0000,.3000000000000000E+31
386580601.0000,.3000000000000000E+31
387895501.0000,.3000000000000000E+31
389210401.0000,.3000000000000000E+31
390525301.0000,.3000000000000000E+31
391840201.0000,.3000000000000000E+31
393155101.0000,.3000000000000000E+31
394470001.0000,.3000000000000000E+31
395784901.0000,.3000000000000000E+31
397099801.0000,.3000000000000000E+31
398414701.0000,.3000000000000000E+31
399729601.0000,.3000000000000000E+31
401044501.0000,.3000000000000000E+31
402359401.0000,.3000000000000000E+31
403674301.0000,.3000000000000000E+31
404989201.0000,.3000000000000000E+31
406304101.0000,.3000000000000000E+31
407619001.0000,.3000000000000000E+31
408933901.0000,.3000000000000000E+31
410248801.0000,.3000000000000000E+31
411563701.0000,.3000000000000000E+31
412878601.0000,.3000000000000000E+31
414193501.0000,.3000000000000000E+31
415508401.0000,.3000000000000000E+31
416823301.0000,.3000000000000000E+31
418138201.0000,.3000000000000000E+31
419453101.0000,.3000000000000000E+31
420768001.0000,.3000000000000000E+31
422082901.0000,.3000000000000000E+31
423397801.0000,.3000000000000000E+31
424712701.0000,.3000000000000000E+31
426027601.0000,.3000000000000000E+31
427342501.0000,.3000000000000000E+31
428657401.0000,.3000000000000000E+31
429972301.0000,.3000000000000000E+31
431287201.0000,.3000000000000000E+31
432602101.0000,.3000000000000000E+31
